Date : 2025-04-19 15:57:59
Directory : d:\Program\IKUN_Manager
Total : 88 files,  29980 codes, 1404 comments, 2116 blanks, all 33500 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |     14,022 |          0 |          5 |     14,027 |
| vue                |         20 |      8,996 |         73 |      1,095 |     10,164 |
| JavaScript         |         14 |      3,129 |        668 |        500 |      4,297 |
| TypeScript         |         36 |      2,973 |        551 |        356 |      3,880 |
| CSS                |          3 |        320 |         40 |         75 |        435 |
| Markdown           |          2 |        220 |          0 |         52 |        272 |
| MS SQL             |          2 |        217 |         72 |         20 |        309 |
| YAML               |          1 |         41 |          0 |         10 |         51 |
| XML                |          2 |         31 |          0 |          0 |         31 |
| JSON with Comments |          1 |         18 |          0 |          2 |         20 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                       |         88 |     29,980 |      1,404 |      2,116 |     33,500 |
| . (Files)                                                               |         12 |     11,930 |         76 |         56 |     12,062 |
| .github                                                                 |          1 |         41 |          0 |         10 |         51 |
| .github\workflows                                                       |          1 |         41 |          0 |         10 |         51 |
| src                                                                     |         75 |     18,009 |      1,328 |      2,050 |     21,387 |
| src (Files)                                                             |          2 |         47 |         11 |         13 |         71 |
| src\api                                                                 |          9 |        969 |        212 |        117 |      1,298 |
| src\assets                                                              |          4 |        284 |         26 |         57 |        367 |
| src\components                                                          |          3 |        199 |          2 |         28 |        229 |
| src\layouts                                                             |          1 |        389 |          6 |         58 |        453 |
| src\mock                                                                |          1 |        103 |         16 |         15 |        134 |
| src\router                                                              |          1 |        174 |         16 |         11 |        201 |
| src\server                                                              |         16 |      5,731 |        667 |        527 |      6,925 |
| src\stores                                                              |          3 |        259 |         68 |         31 |        358 |
| src\styles                                                              |          1 |         67 |         14 |         18 |         99 |
| src\types                                                               |         14 |        704 |        100 |         99 |        903 |
| src\utils                                                               |          5 |        683 |        125 |         69 |        877 |
| src\views                                                               |         15 |      8,400 |         65 |      1,007 |      9,472 |
| src\views\BackgroundSlider                                              |          1 |         62 |          0 |         10 |         72 |
| src\views\clazz                                                         |          1 |        773 |          7 |         88 |        868 |
| src\views\dashboard                                                     |          1 |        449 |          3 |         46 |        498 |
| src\views\dept                                                          |          1 |        482 |          4 |         46 |        532 |
| src\views\emp                                                           |          1 |        989 |          5 |        128 |      1,122 |
| src\views\empReport                                                     |          1 |        617 |          4 |         64 |        685 |
| src\views\error                                                         |          1 |         52 |          0 |          8 |         60 |
| src\views\exam                                                          |          1 |      1,156 |         19 |        141 |      1,316 |
| src\views\log                                                           |          1 |        401 |          3 |         59 |        463 |
| src\views\login                                                         |          1 |        183 |          1 |         29 |        213 |
| src\views\profile                                                       |          1 |        513 |          4 |         81 |        598 |
| src\views\score                                                         |          1 |      1,022 |          5 |        113 |      1,140 |
| src\views\settings                                                      |          1 |        189 |          0 |         30 |        219 |
| src\views\stu                                                           |          1 |        752 |          4 |         79 |        835 |
| src\views\stuReport                                                     |          1 |        760 |          6 |         85 |        851 |
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Program\IKUN_Manager\.eslintrc.cjs                                   | JavaScript         |         13 |          1 |          2 |         16 |
| d:\Program\IKUN_Manager\.github\workflows\main.yml                      | YAML               |         41 |          0 |         10 |         51 |
| d:\Program\IKUN_Manager\.prettierrc.json                                | JSON               |          1 |          0 |          0 |          1 |
| d:\Program\IKUN_Manager\README.md                                       | Markdown           |        151 |          0 |         25 |        176 |
| d:\Program\IKUN_Manager\env.d.ts                                        | TypeScript         |          6 |          2 |          1 |          9 |
| d:\Program\IKUN_Manager\ikun_db.sql                                     | MS SQL             |        156 |         51 |         15 |        222 |
| d:\Program\IKUN_Manager\index.html                                      | HTML               |         13 |          0 |          1 |         14 |
| d:\Program\IKUN_Manager\package-lock.json                               | JSON               |     11,412 |          0 |          1 |     11,413 |
| d:\Program\IKUN_Manager\package.json                                    | JSON               |         54 |          0 |          1 |         55 |
